,timestamp_TW,uuid,ucid,upid,problem_number,exercise_problem_repeat_session,is_correct,total_sec_taken,total_attempt_cnt,used_hint_cnt,is_hint_used,level
4759204,2019-05-26 10:00:00 UTC,4IEuyf0Q/ZcI814fUZCb2o72QEjynwbihuzd6AWSUZU=,fvlbr1+0Yu4YTF5vqxIlsxlVUtlAFE/LxIaxKOaLs7g=,JQLl4lxEox75OAgZbTskPpkanLw2zE10wd0zObiDmXw=,11,1,0,13,1,0,1,1
4762792,2019-06-03 16:30:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,m/JWFlWTObOlrpPo0GSe5ZY8bBRPfH9U/ZsdbbyIa5w=,/gkkIsFjBKflNpjkL8pVqSUmR9R3YYHAZl2WY4zqtuk=,22,2,0,26,1,0,1,1
4765347,2019-04-25 16:00:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,KDmidXT8+B/WOtPvVSWF6TKTO7xeI+S5CqqmaRdkHcM=,iHy69aXU7iNGH36fbsg1PK1MjCrnNyl87oo1vyRKCkY=,7,1,1,18,2,0,1,0
4766998,2019-04-23 13:00:00 UTC,m8YEBkYtpPjrlfIPFARTiM3pKLX7k55yoUIjhFPGEqI=,PqQyQvOjvvozBCtlR/0pL8uxhe0K63IPiKYCi1tDG1o=,HlzuXkEoeUJ/G5vdf9cPFrktSzXC8pdYw9Lp1iadMcs=,9,1,0,9,1,0,1,3
4769090,2019-04-24 10:45:00 UTC,dT6MCCk97cFngXtRX63bS87OijiKgJpKlCwykYzc1Wo=,TOdFpZ3Xqdh28DnIte6gehxDLIIUkzWMwfqed8sEJwE=,Nl0MMm8cYz3a8CmgapbinLr1lAewqhN5xrRxNhC3rsw=,4,1,0,60,1,0,1,0
4774824,2019-05-30 20:30:00 UTC,gQSEhNOik/dfwb073/W/PKysCdMykaWFT88HEMAM6Zo=,zX5HAUpRYC4F7YPNs5tUeBqVi++rEmPUfsAtHpoZmEQ=,nyqR8kfVppLaPfqFdFz8BP37K1FWdWX5g8Obr3rBqQM=,9,1,0,5,1,0,1,1
4775953,2019-05-30 20:30:00 UTC,gQSEhNOik/dfwb073/W/PKysCdMykaWFT88HEMAM6Zo=,zX5HAUpRYC4F7YPNs5tUeBqVi++rEmPUfsAtHpoZmEQ=,3GDbdYO4Hj7cxGs6EzDXw1j+yezgjzaaSfCBygLahW8=,5,1,0,13,1,0,1,1
4777348,2019-05-12 13:45:00 UTC,4IEuyf0Q/ZcI814fUZCb2o72QEjynwbihuzd6AWSUZU=,u5SYmgbMwMzEurXJkN8SzYMacAqwjR02xCA0/prnVeI=,7GALxxP6MrWcopcLebi4GyF/cP6fAycwgXRhA0O4DuM=,2,1,0,28,1,0,1,0
4780381,2019-04-23 13:00:00 UTC,m8YEBkYtpPjrlfIPFARTiM3pKLX7k55yoUIjhFPGEqI=,svTmVFY7kPYUWAdDc4l5Zaim90TY7RGkFLs/eaU4FVc=,HOEPLR5X6laKXiMUc67uix9XgkcjXd1kIK+N1KVvCTo=,7,1,0,4,1,0,1,2
4780486,2019-04-18 20:15:00 UTC,m8YEBkYtpPjrlfIPFARTiM3pKLX7k55yoUIjhFPGEqI=,T7V7D8OgJF2BeuK/agj56BY9ibTmoqRbGdtwrt8a1SQ=,I64TnVsMnBwZ8cpC0V6Ezl51YRnRIT5sBPF8qOnTLxw=,7,1,0,5,1,0,1,2
4790733,2019-05-09 14:45:00 UTC,egBmoioJTU2qgNm2Qn715iDOxSJzywPYbfBqbRxxkk8=,h+NYyIV/YL/gV0WjaGT5tfnqaubKmWS6ytdWBeSLFjc=,/AgfWqCIlLHnu6mG0ZKnq+lo+2UybuS7UyOD3hqslBY=,9,1,0,10,1,0,1,0
4795403,2019-06-03 20:00:00 UTC,4qTG7XqzmOWUpeIhEJ/eN05YJf0C9lxbxGPa7bUeGBQ=,3sOEuxGBKh09ZpcaBhWXk4+LY+clD2Zpu/qTcPUVkVc=,SmeK60o50++ronUVB+8u1gQwzk9WNjfOKHcVSxlQIuI=,8,1,0,27,1,0,1,0
4795593,2019-06-16 12:45:00 UTC,ZHgqrRee0y5mhz0OIdkn3ZFhYxZBuvuy5xomjAik08k=,CPI+5YCeEmhqdk6znJeii6jJUNl1QWGEvwCUJ6uLflg=,c4e8M5QlK5WFciBQRmrECPOFu1f2DXtjpI6cv6I8R+4=,6,1,0,8,1,0,1,1
4795596,2019-06-03 16:15:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,m/JWFlWTObOlrpPo0GSe5ZY8bBRPfH9U/ZsdbbyIa5w=,oyFTSe0H8lwGf0gUTzKKS4hc2rGwe7Alfah1puKYDUQ=,16,1,0,62,1,0,1,1
4796863,2019-04-09 17:00:00 UTC,9SgNlDjJycgGdjrzBt7AZBN6AFHupfn3ewBDfAWsNdQ=,YORLcxgiHpb03U15diML90XnAXNqfG/QtxNo1PrCGVk=,lgtNeoFCJb3s3ZPTJ+kpfJa6kADiLIxOlRpkw47u09I=,17,1,1,29,14,3,0,0
4800215,2019-04-28 13:30:00 UTC,4IEuyf0Q/ZcI814fUZCb2o72QEjynwbihuzd6AWSUZU=,AUKcVABab0p2gaDWuFp3/SBBMLdbzqtduBnXhYaNX4A=,z0bjZK8yU85JpRrcdsJa+syyqmdhD8KpFJEv9BMPr28=,2,1,0,18,1,0,1,0
4801124,2019-04-29 21:45:00 UTC,DSlKztiNNxdail3Q5DfWzOe6Wt5/PNdBVPYDDP5twfk=,XPxKzkvjDB7yK2AQPahFqPB7cnoHs5/dy4T498HoX5M=,DAeyMsbzGd73nxm5FqqlDtMk/a9+oXCzCMCFLwpOwuM=,8,1,0,37,1,0,1,0
4803857,2019-05-06 16:15:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,j8b2h08zIbWHp6sKBsI0qaQuiA3vUGMjaYZFFE/gQ3I=,wHHmmItVWFS+I3PE/RBQfE+t+fdHENuJ/mIU4Rj6doE=,23,2,1,22,1,0,1,0
4805831,2019-05-12 15:00:00 UTC,QCNXGnKbcSS9WfPo0QmpjND7JQWh9RPbBdqiuEiJ9Lk=,yHJf0g7o8YLIn0qLcWkybcezKBHdmlj7ih14MWWbzNI=,SeT/jq66Y7wOGCfGbS89Sf454tWz4DJfoHZhsY5gwkQ=,1,1,0,9,1,0,1,0
4807315,2019-05-12 10:45:00 UTC,QCNXGnKbcSS9WfPo0QmpjND7JQWh9RPbBdqiuEiJ9Lk=,5BND+QhJLGTw2gPNqCs0SjqEQuGL+IN798lUL3RUG3s=,9hiCd6mOv2f4xqDpW7a7ZAel6NEamm9STFy9wIUYxPE=,4,1,0,90,1,0,1,0
4808317,2019-05-31 21:00:00 UTC,4qTG7XqzmOWUpeIhEJ/eN05YJf0C9lxbxGPa7bUeGBQ=,00KEZbwE/6qJ+WSl9TwUEgbwi/wmnEVgeCnGzi4/EYo=,RC9szcIcNFLoiSlzeAyoUBeMloh2Vmj7STkDnNFzuoo=,2,1,0,30,1,0,1,0
4808421,2019-05-12 14:45:00 UTC,QCNXGnKbcSS9WfPo0QmpjND7JQWh9RPbBdqiuEiJ9Lk=,ZDQe2EAf9O/FBmCJpXM2GZK7E3bfQfT6M8rHZ21H5Uc=,Nws76OrJLBwgGKtI4TyV0z3tQBDqOuftf+1F0Zp/MfQ=,3,1,0,5,1,0,1,0
4810573,2019-04-03 13:45:00 UTC,Ak47yNgwKXMoUS2aALWRhlcGYz6gXgYIu+7YsCwH70Y=,YkHODfSVaCIiF+woaqNHli0DqOr4KOxt4DKcsOdLMr8=,06LEX6CuLZo0ylyJEayUTurXzgmtA37A86a+8Q2itBs=,7,1,1,10,1,3,0,0
4810637,2019-04-11 12:45:00 UTC,m8YEBkYtpPjrlfIPFARTiM3pKLX7k55yoUIjhFPGEqI=,NA/6rJli13WahqXIJO8Gc7iLmI2qc048XZuDwrQ3zlg=,KdwKKniGg+q9CKhcPuRf27303kfaXdOgZimn2u16U8E=,11,1,1,34,2,2,0,0
4811377,2019-04-23 16:30:00 UTC,9SgNlDjJycgGdjrzBt7AZBN6AFHupfn3ewBDfAWsNdQ=,KDmidXT8+B/WOtPvVSWF6TKTO7xeI+S5CqqmaRdkHcM=,krvBtEb8Hg8KIwGOZ2GuaY2mCHiixj/zYE/J2VJJf7s=,1,1,0,29,1,0,1,0
4815920,2019-05-30 20:30:00 UTC,gQSEhNOik/dfwb073/W/PKysCdMykaWFT88HEMAM6Zo=,zX5HAUpRYC4F7YPNs5tUeBqVi++rEmPUfsAtHpoZmEQ=,n8CelhVumZf1zEdbSBYd4otR4HbUkx99kIV2mUdOyPY=,11,1,1,16,2,0,1,1
4818726,2019-05-19 13:45:00 UTC,4IEuyf0Q/ZcI814fUZCb2o72QEjynwbihuzd6AWSUZU=,hv7kHCAIdj7thZUmlqz553leG5bFNYgzXmLfB5m4Xvw=,ENSUR/xqFe3ZcGA5idFU5f7BdUf4jZ/G++sw3R+kXIM=,1,1,0,9,1,0,1,0
4820894,2019-05-12 10:45:00 UTC,4IEuyf0Q/ZcI814fUZCb2o72QEjynwbihuzd6AWSUZU=,PqQyQvOjvvozBCtlR/0pL8uxhe0K63IPiKYCi1tDG1o=,T67R+nAqwIKA+2dd8TWcYbM766g/Oh9jmPrbKmeDakM=,3,1,0,11,1,0,1,0
4822430,2019-04-10 14:00:00 UTC,Ak47yNgwKXMoUS2aALWRhlcGYz6gXgYIu+7YsCwH70Y=,WfTXipC1a2n1v6FzNC711Jzm2ikIDAAPKcOP6AEaR1Y=,FeMYFsyXR0Jtm/LWjd1m2mEF5COT3vLmulPAEQxsRRQ=,8,1,1,9,1,2,0,0
4824786,2019-04-23 12:45:00 UTC,m8YEBkYtpPjrlfIPFARTiM3pKLX7k55yoUIjhFPGEqI=,kWC7tp+Ms6zrg+kHdqOvEhUdKpT4PZOSEDZvFE9v2sE=,+HoCJ/AOQ86mE75BC7ieOkRbbWq3z2SV5EPw8PRNX68=,19,2,0,13,1,0,1,0
4824854,2019-04-01 17:00:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,S0VFEY+TX4JInp2RbHDsOeNIjLRKCfs1ywbzFrcTDWM=,D9q3bh01g8Q5hRBq2PrdiBtRUCC9P5V/Tu85ahHNIAI=,3,1,0,17,1,0,1,0
4826911,2019-04-03 13:45:00 UTC,Ak47yNgwKXMoUS2aALWRhlcGYz6gXgYIu+7YsCwH70Y=,YkHODfSVaCIiF+woaqNHli0DqOr4KOxt4DKcsOdLMr8=,APipVhws0aGCVSM2iyshqk+9wj7eIE8hHcnyrFQy8HU=,14,1,0,113,1,0,1,0
4827157,2019-04-25 13:15:00 UTC,m8YEBkYtpPjrlfIPFARTiM3pKLX7k55yoUIjhFPGEqI=,5GSDEOPz8ykUYPVBbe6s8+TAN1rUxtQgcpirWtxAP30=,0zy0MOzZtPjAqOJHjxpOuSn+5kDI5pyo34wrsIlxxao=,3,1,0,4,1,0,1,0
4831100,2019-05-29 21:45:00 UTC,Dq4uCsNL9/pg7BcNMwuUB156IW9ELoXMZEBIxeBRhAs=,rzWpkZfVptJjhCtmA5xHgJIsAZQKyQ0mwHzaE2K/I9Y=,HC+57ySm6hOCzikXNPGfzERJmNOxPn/xQwx5EikhYqQ=,26,2,0,8,1,0,1,1
4831351,2019-05-29 21:30:00 UTC,Dq4uCsNL9/pg7BcNMwuUB156IW9ELoXMZEBIxeBRhAs=,P7ylAtyaUeaapiNAor3BY5fi3JH6Swz5Azu48jtbZps=,XvvJrCRABtUm8vCFcYs01UyAr84oO1TKjjiTxMr+VNA=,1,1,0,11,1,0,1,0
4833271,2019-05-12 10:30:00 UTC,QCNXGnKbcSS9WfPo0QmpjND7JQWh9RPbBdqiuEiJ9Lk=,xk269k5cel7t7lVVPwniYDSV03nxPEP6B43dF03A7gE=,n3chS3ZdCE/AmA0IHzs+JkWSg9pQW4BQeKAeDAxMEdw=,3,1,0,16,1,0,1,0
4834321,2019-05-25 15:15:00 UTC,4IEuyf0Q/ZcI814fUZCb2o72QEjynwbihuzd6AWSUZU=,k/WG4+UUn0rR7m2BM4xFg4shKIzlpibdawNjVqpvgDQ=,ACz28AMPnAiNCiCdbiWuWYtTqtWTIYGFj3+xEUcTCT4=,8,1,0,18,1,0,1,1
4834714,2019-04-01 15:45:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,lGdUXi9NMg3ytnL5if7DOcNgJB6AkWtmNPc+PBbKHi4=,5IshyEqnIRlB+t208b3ZqgZiXnbcftcCrctRml0yERE=,2,1,1,56,1,0,1,0
4834879,2019-04-22 14:15:00 UTC,m8YEBkYtpPjrlfIPFARTiM3pKLX7k55yoUIjhFPGEqI=,+cLbiKkV7+VhNPr7OGG3B3kPpZ8er0mvFvqPbM/gm+E=,Nc1tEzVfde3FQWsDCjlGytwfzHNZ34DA0LzH1VrhvHU=,29,1,1,6,2,0,1,0
4835044,2019-04-09 11:45:00 UTC,TjPY9v6Fk+ma6KB+ZkSz0KZm+MdmWFr8FX3Hu20fApM=,c0t5AkrKR7NWKeq1VVONr8Y04yJwdRPn/Qil5esGVUQ=,+wNg0HS0jMyLn8+VqRHP6q7XGfDM93/XnfRi4KyglDc=,63,3,1,7,6,1,0,0
4835439,2019-04-18 16:45:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,wIsDMrI/eBE3OPuBThlLMMwauFehCay2ubzznnf0I2I=,ZD+OIPnihLl5gwEa1JgRbw+DtOyY8L0/dpY0JYUy8f0=,1,1,0,23,1,0,1,0
4837031,2019-04-22 15:45:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,NNDeofPcfsq3nkylBjexLeCKrf/SETj91zj7YGiS0FE=,82pLlBV9a9BAb4y2Vw0I+qZbxdx14Jhupvb3wwa2ROU=,4,1,0,56,1,0,1,0
4837219,2019-04-25 17:00:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,WzvugOYA7I7EAC0ty8LiMKIA+9T/CYrBJx5dG+/QcMw=,ZwSNcWlNdiQLOKRbkeP45DhaOBep+hi6yfXtxFzJFhg=,16,1,0,8,1,0,1,0
4838619,2019-04-16 11:30:00 UTC,TjPY9v6Fk+ma6KB+ZkSz0KZm+MdmWFr8FX3Hu20fApM=,oNIM1eH6FUaiqw9ZJSkRfnJ3jbGUx8QoWBTNq/mmB5E=,ji0m89GTgT9zFCnqRi8l2YbQEDQ6UYGf+ivV8W18Bto=,19,1,0,3,1,0,1,0
4841395,2019-05-09 14:45:00 UTC,egBmoioJTU2qgNm2Qn715iDOxSJzywPYbfBqbRxxkk8=,ncpSV/Tw2uD3d5TPnUjjXA+mqgn81thyxj8FxznUxZY=,9wnFpG76zw8Kl6SC3sYcbIYgI6NxYNxKD3ehVETMjnw=,3,1,1,36,2,2,0,0
4844564,2019-04-23 13:00:00 UTC,m8YEBkYtpPjrlfIPFARTiM3pKLX7k55yoUIjhFPGEqI=,svTmVFY7kPYUWAdDc4l5Zaim90TY7RGkFLs/eaU4FVc=,sXvSZhBuzwN0D3rV1SCtsNp62caDzYGxqi7IEXh+Ghs=,10,1,0,5,1,0,1,2
4845381,2019-04-28 14:00:00 UTC,4IEuyf0Q/ZcI814fUZCb2o72QEjynwbihuzd6AWSUZU=,ivMwj8BftiUhzy+S92MtpdbXyuTfab9H8lSFFi2azt4=,lGJyP1IOpPv2Wduq37l8jHj46Az3qm4tGZnXr+CDwXw=,8,1,0,75,1,0,1,0
4845932,2019-04-03 14:00:00 UTC,Ak47yNgwKXMoUS2aALWRhlcGYz6gXgYIu+7YsCwH70Y=,YkHODfSVaCIiF+woaqNHli0DqOr4KOxt4DKcsOdLMr8=,JK+kLpszkLeIeKvYXsRt6ALiD9Qw2XXY+83q6sru5ls=,16,2,0,32,1,0,1,0
4847815,2019-04-11 22:15:00 UTC,m8YEBkYtpPjrlfIPFARTiM3pKLX7k55yoUIjhFPGEqI=,PbVYI1CRNaSeyeEyzq2xT68tf/hq17mof2B8FYiM+io=,+QYxukma637XrSh2eWH4C6pjtdlOvlcavJxzeN2sOAY=,3,1,0,26,1,0,1,0
4848104,2019-04-11 22:15:00 UTC,m8YEBkYtpPjrlfIPFARTiM3pKLX7k55yoUIjhFPGEqI=,PbVYI1CRNaSeyeEyzq2xT68tf/hq17mof2B8FYiM+io=,9mxKV0dz+6h+OGSS121QKK0bSZy4B6VAonImLlETB5M=,5,1,0,13,1,0,1,1
4852656,2019-04-18 16:45:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,WMgUXcGDQCwsVgpqW00m0nL9vzTUYdkN6Cbdtg8M29k=,bDQe1B9TpIhZIQBnJ18MTB1zlZla/KIkmv56ihuNqXk=,1,1,0,25,1,0,1,0
4854682,2019-04-11 12:45:00 UTC,m8YEBkYtpPjrlfIPFARTiM3pKLX7k55yoUIjhFPGEqI=,ti7iE7Irnu/h0/BjiZZTK6MopfvXpnfJOccIVSxyA0I=,26XVL5M5lIfPT7JJmVL+YzFd/mvBpZOIzVQAuiWlPSQ=,8,1,0,22,1,0,1,1
4856155,2019-04-09 17:00:00 UTC,9SgNlDjJycgGdjrzBt7AZBN6AFHupfn3ewBDfAWsNdQ=,YORLcxgiHpb03U15diML90XnAXNqfG/QtxNo1PrCGVk=,Y67UeSJfOFm1OADvs4h8WRRa0JFxHCRHqrkdGrpstes=,22,1,0,89,1,0,1,0
4858798,2019-05-13 16:45:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,j8b2h08zIbWHp6sKBsI0qaQuiA3vUGMjaYZFFE/gQ3I=,gsWQiNFO6J+xRWjjueekD56kLjsmFn9VNhpKrmGX4hM=,33,3,1,11,1,2,0,0
4859563,2019-05-25 14:30:00 UTC,4IEuyf0Q/ZcI814fUZCb2o72QEjynwbihuzd6AWSUZU=,WS8jP1BdHW+Hr6HKToZja5W0UH0gsE78z7CxYLHJgcU=,Rap9iB/2ARH617Edu7FyLZ8DsqZHagkyTtnXDYfbMFg=,6,1,0,281,1,0,1,1
4860827,2019-05-25 14:15:00 UTC,4IEuyf0Q/ZcI814fUZCb2o72QEjynwbihuzd6AWSUZU=,ivMwj8BftiUhzy+S92MtpdbXyuTfab9H8lSFFi2azt4=,JE0zy0BtN00Dx9ick4lrUs8VQfwvSwsr2xpLAwcHK/I=,20,2,0,66,1,0,1,3
4871619,2019-06-09 09:30:00 UTC,4qTG7XqzmOWUpeIhEJ/eN05YJf0C9lxbxGPa7bUeGBQ=,3Rmd2VQUBwDitQ5mXI3d4TO3qkZv/hd0NH9nOSeh9sQ=,kpS4jXEBIqesR+4ZuUQJeALJbROFNti2iWzcbCsP8bw=,6,1,0,27,1,0,1,1
4876961,2018-10-14 23:45:00 UTC,TBw5tcYN6AoEttAz8F0+PqAy0Xdmpi3/sT8lJ0LRLSk=,kvCAt3kZ/mwV1jD2HyUqAQX8S4PUPR33jaGc4hW10Mc=,neb9uukCncmhEHrdegj6R2oSuHOhYzbhNDZHcBLcWUE=,1,1,0,21,1,0,1,0
4880096,2019-06-25 11:45:00 UTC,TjPY9v6Fk+ma6KB+ZkSz0KZm+MdmWFr8FX3Hu20fApM=,SQMgGY6bpDnpHTx2hEwNomSPUK2IpSvmaAXUKpx7+pI=,LiNwV1tn1ybcCnyx4mlCn1yenG3C+wNnoE+OxPB3Sw4=,1,1,1,7,3,0,1,0
4880193,2019-06-04 17:30:00 UTC,9SgNlDjJycgGdjrzBt7AZBN6AFHupfn3ewBDfAWsNdQ=,I/598ZmMIMeI5NdTNKVBHbbhAMhZA3QRabeZhQ/ddL8=,z8hEV74vTFIJXlT5oefwSYgtR3Pym4G7rMX32Mr0OO0=,8,1,1,16,8,3,0,0
4890788,2019-06-03 20:00:00 UTC,4qTG7XqzmOWUpeIhEJ/eN05YJf0C9lxbxGPa7bUeGBQ=,3sOEuxGBKh09ZpcaBhWXk4+LY+clD2Zpu/qTcPUVkVc=,SHpw4A+Wu1+c6Nhnz6Ru9PffFLw8xZWze9j/8q7EvIM=,10,1,0,44,1,0,1,0
4891841,2019-05-19 13:30:00 UTC,4IEuyf0Q/ZcI814fUZCb2o72QEjynwbihuzd6AWSUZU=,kSGW7jiMb919zyekSOS3O3twBsFg+jh/QoZTlNlm2xU=,KYWFttM10kbv8hYN0hRVjugOYHfZR0i5WeqfaJGFcbk=,10,1,0,32,1,0,1,0
4894091,2019-06-03 17:00:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,3Bb76ZUap0HQIBirEbaOpc3O9okCVcv5TcNx+GfSCzk=,M/kstxuFZ+j7ioGiHWIr0SpPc8G5tiMuNfyB4r86/As=,15,1,1,27,3,0,1,1
4894180,2019-06-26 09:15:00 UTC,pRTY7OiXkQgj8/7ZJPx1LJDhVrgPIGK+79NqlRxu1R8=,zpLoCKHOugDScAlFt0XHJJKFwU+r3YZaBlTf5G7qWpE=,UZkL2xlNKDsAoKrZUf9jcDVaiJsI0k/JYfz4tvXHHaQ=,6,1,1,0,0,1,0,0
4897253,2019-06-26 09:45:00 UTC,pRTY7OiXkQgj8/7ZJPx1LJDhVrgPIGK+79NqlRxu1R8=,zpLoCKHOugDScAlFt0XHJJKFwU+r3YZaBlTf5G7qWpE=,dezL4Gd8FKgEofvUNAJKgf9NPXtGOIQbGPBzVsSzP58=,18,2,0,7,1,0,1,0
4898138,2019-05-29 21:45:00 UTC,Dq4uCsNL9/pg7BcNMwuUB156IW9ELoXMZEBIxeBRhAs=,rzWpkZfVptJjhCtmA5xHgJIsAZQKyQ0mwHzaE2K/I9Y=,LNBPeGsqv4Rgy0Dnp5jCDis+aFAmFJMHKsz8zQJubTA=,28,1,0,38,1,0,1,1
4898736,2019-06-01 00:00:00 UTC,oGnSierfn99uwfZucRpgMzjXX1KW2HigCrGVcPFiAoA=,l1rjnoyfJCnZv8AJ4YiaXNG3b/Qrtstg83+T9K4A4pU=,Z8OVLqwIKNbf+Ry7s1c0yaRCcjY5cyMYQ36oHyBLizA=,16,2,0,14,1,0,1,1
4899891,2019-05-12 14:45:00 UTC,QCNXGnKbcSS9WfPo0QmpjND7JQWh9RPbBdqiuEiJ9Lk=,+owQ9eTzitOLHF3SZxKwWN9ZpsHjg3tK4A9fpS7E0oo=,VVQjr07znIjd/PCBsDdREd523NegnyNeEmaMtyzRv18=,4,1,0,24,1,0,1,0
4906252,2019-06-09 09:30:00 UTC,4qTG7XqzmOWUpeIhEJ/eN05YJf0C9lxbxGPa7bUeGBQ=,2I6JcI6MiTkb6Ya10XVBUdZIRXgbXhpapejBytTcjTg=,RMExK7Y5DmpM4hImr9jDZmQ5uEbpBhpam0o8H10uQNw=,7,1,0,14,1,0,1,2
4910538,2019-01-01 20:15:00 UTC,m8YEBkYtpPjrlfIPFARTiM3pKLX7k55yoUIjhFPGEqI=,H9tE/axZ4DsmCfhZY9auIyxyBeXalwM2dnTvNSkhD+E=,Li8ylEBaRfR4UerAsvTcqZwDTNbZCw/DCFZmUf+ALZY=,2,1,0,36,1,0,1,0
4912694,2019-01-28 20:15:00 UTC,CpNK/hTNlq7dqOZSBKUqfcTYT3fPYC568rnoqSgzyYA=,9Xi5HaV/Z5cinEcWKVZMuef69TOyb3IxHlE53sgUbQA=,d0wtMStGD+/BrgVJshwBOzkJAjMT3g0k/v7gs3YdVv0=,2,1,0,41,1,0,1,0
4914981,2019-02-17 16:00:00 UTC,YlhDYVQs+h4fH/0ZkYUXVFmEGDAtnUVbk+veoR9PCR0=,GhFxv7BoAI++BrgjSP6mVEhEsO33gLRvb66hG7WW6iA=,dkes91lSeLN0yuQAFLTR0wgmng/z5a0BpjWXJOrq6xM=,3,1,1,75,2,0,1,0
4916995,2019-02-04 17:30:00 UTC,fUiuB7SPD9QYApc5GYqFs2+IdzYPILeKDL8HEdGc1ek=,sbX37mPX7s12nP6ST0kOrlxn3LZ4PhWGqmgvpEIj6ng=,uu4kaZp2bdqxQUSuw4k8Ac0Wf4zhpThTcKMnF6Wx9fY=,4,1,0,84,1,0,1,0
4917301,2019-02-08 15:30:00 UTC,fUiuB7SPD9QYApc5GYqFs2+IdzYPILeKDL8HEdGc1ek=,HxDSyyUmHERWpro0B8nEQFWH/E461CuZXM5F7LpOHO4=,BrO277mWhFfYGUBCzM8JXfSOfZ/1hrfITPHIKy0ner8=,6,1,0,14,1,0,1,1
4919260,2019-03-25 16:45:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,ROy2LJr08ctjmiuRc4SXFKrmk91KPBxZU6hZPJ7JIu8=,AfVSMTpkutX+KXACFyf3A/XOPTEfL2QTmPuOH/hDSJ0=,1,1,1,188,2,0,1,0
4920062,2019-03-28 16:00:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,ROy2LJr08ctjmiuRc4SXFKrmk91KPBxZU6hZPJ7JIu8=,YspdlKQhv1Yv6TuzBVJpe+WjZcLFepton0xTFR+ZZnY=,16,1,1,319,2,0,1,0
4920659,2019-03-05 16:45:00 UTC,9SgNlDjJycgGdjrzBt7AZBN6AFHupfn3ewBDfAWsNdQ=,ojfqcZpAoKASWGHibpbgNTzBg9Dn19Gd7XxOA5TQ8l0=,0loqf0YhEN2ys6hMfFAfhRIgW8V+egvYdtPBBjtk8kM=,5,1,1,46,8,3,0,0
4921452,2019-03-02 17:15:00 UTC,YlhDYVQs+h4fH/0ZkYUXVFmEGDAtnUVbk+veoR9PCR0=,cv9POISG2CRsF6NgWLZALS9+KTAB25ASQhvveqRLYtM=,ys/kiaERL3j+rJmcXO5DOpyQ/LnLkhrX0H+846GAnc8=,1,1,0,32,1,0,1,0
4926449,2019-05-25 15:15:00 UTC,4IEuyf0Q/ZcI814fUZCb2o72QEjynwbihuzd6AWSUZU=,kwPXscWGwlFEBMGbV9JSoj7leEOLPiJpZS/s3V6oeQU=,gekZwtnlQ8xRN3BPOAENnUYwFdxTKSaauMSir0Jf9/Q=,1,1,0,46,1,0,1,0
4926751,2019-05-19 10:15:00 UTC,4IEuyf0Q/ZcI814fUZCb2o72QEjynwbihuzd6AWSUZU=,HKqPgUALqZGw984KFqAMeDwDJTi9cNhJ51UXfjzELSg=,+Aeclsbimpww1+AT6qKmqw+N44fOlEgVoQ4tgyc2t5c=,10,1,0,19,1,0,1,4
4928735,2019-05-30 16:45:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,CPI+5YCeEmhqdk6znJeii6jJUNl1QWGEvwCUJ6uLflg=,/Wgjdl2BsldHZDdXXvzwGimusaMX548lqV2b7PgwXAs=,5,1,0,7,1,0,1,1
4930283,2019-05-01 11:00:00 UTC,dT6MCCk97cFngXtRX63bS87OijiKgJpKlCwykYzc1Wo=,ViIxd7sl/Dp2C0nC24swu3Cm5o8UkaEMgyMuUp7pq0g=,bgN1udij+2xTN72gDjhtv+/svCefqAebuGFjMU+2J7c=,4,1,0,113,1,0,1,0
4931667,2019-06-26 09:45:00 UTC,pRTY7OiXkQgj8/7ZJPx1LJDhVrgPIGK+79NqlRxu1R8=,zpLoCKHOugDScAlFt0XHJJKFwU+r3YZaBlTf5G7qWpE=,1InVfQI5MFTmXcZIHq1rDUE9T4jS7DK+QwuBadSMBGA=,17,2,1,18,2,0,1,0
